Model,Dice (with norm),Dice (without norm),IoU (with norm),IoU (without norm),Parameters
U-Net 2 blocks,0.7974027156829834,0.44888805896043776,0.6635328233242035,0.2896337300539017,117393
U-Net 3 blocks,0.7975592374801636,0.401312880218029,0.6634846121072769,0.25124779567122457,483153
U-Net 4 blocks,0.8064969152212143,0.4596449747681618,0.6758786708116531,0.29858373999595644,1943761
